datetime,lat,lng,intensity,wind,minimum central pressure,type
11/09/2026 11:00,13.4,112.3,MD,30,1006,past
11/09/2026 14:00,13.5,113.0,MD,30,1006,past
11/09/2026 17:00,14.5,113.0,MD,30,1006,past
11/09/2026 20:00,13.3,112.5,MD,35,1005,past
11/09/2026 23:00,13.5,111.2,MD,35,1005,past
12/09/2026 02:00,13.9,110.8,MD,35,1005,past
12/09/2026 05:00,14.2,110.5,MD,35,1005,past
12/09/2026 08:00,15.3,109.4,MD,45,1005,past
12/09/2026 11:00,15.4,109.3,MD,45,1005,past
12/09/2026 14:00,15.5,109.2,TD,45,1005,past
12/09/2026 17:00,15.6,109.1,TD,45,1005,current
