datetime,lat,lng,intensity,wind,minimum central pressure,type
14/09/2026 08:00,12.2,153.1,TD,45,1005,past
14/09/2026 14:00,12.2,153.0,TD,55,1002,past
14/09/2026 20:00,13.3,153.1,TD,55,1002,past
15/09/2026 02:00,13.3,152.0,TD,55,1002,past
15/09/2026 08:00,13.8,150.5,TD,55,1002,past
15/09/2026 14:00,14.8,150.2,TD,55,1000,past
15/09/2026 20:00,15.0,148.9,TD,55,1000,past
16/09/2026 02:00,14.8,148.8,TD,55,999,past
16/09/2026 08:00,15.6,148.8,TD,55,999,past
16/09/2026 14:00,15.7,149.1,TD,55,999,past
16/09/2026 20:00,16.4,149.4,TS,65,998,past
17/09/2026 02:00,17.5,149.7,TS,75,995,past
17/09/2026 08:00,18.8,150.5,TS,85,990,past
17/09/2026 14:00,21.2,150.1,STS,90,988,past
17/09/2026 20:00,23.4,148.4,STS,90,988,past
18/09/2026 02:00,24.6,145.9,STS,110,980,past
18/09/2026 08:00,25.3,145.0,TY,120,978,past
18/09/2026 14:00,25.9,142.7,TY,120,978,past
18/09/2026 20:00,25.7,141.7,TY,125,975,past
19/09/2026 02:00,26.0,140.8,TY,130,970,past
19/09/2026 08:00,26.4,139.8,TY,130,970,past
19/09/2026 14:00,26.9,139.1,TY,130,970,past
19/09/2026 20:00,27.8,138.3,TY,125,975,current
